ok=63 total=63 mismatches=0
owned-011 stdout_eq=True rc_eq=True cli_rc=0
swap-011 stdout_eq=True rc_eq=True cli_rc=0
same-first-twice stdout_eq=True rc_eq=True cli_rc=0
same-second-twice stdout_eq=True rc_eq=True cli_rc=0
fresh-complete-declared stdout_eq=True rc_eq=True cli_rc=0
stub-bytes-0 stdout_eq=True rc_eq=True cli_rc=0
produced-bytes-12 stdout_eq=True rc_eq=True cli_rc=0
missing-wins-over-stub stdout_eq=True rc_eq=True cli_rc=0
vanished-primary-no-extra stdout_eq=True rc_eq=True cli_rc=0
extra-present-orig-gone stdout_eq=True rc_eq=True cli_rc=0
filename-none-missing stdout_eq=True rc_eq=True cli_rc=0
filename-none-present stdout_eq=True rc_eq=True cli_rc=0
forgotten-present stdout_eq=True rc_eq=True cli_rc=0
empty-present-tab stdout_eq=True rc_eq=True cli_rc=1
identity-changed stdout_eq=True rc_eq=True cli_rc=0
rebuilt-missing stdout_eq=True rc_eq=True cli_rc=0
status-fresh-lc stdout_eq=True rc_eq=True cli_rc=0
status-Fresh stdout_eq=True rc_eq=True cli_rc=0
status-CACHED stdout_eq=True rc_eq=True cli_rc=0
status-HIT stdout_eq=True rc_eq=True cli_rc=0
status-UPTODATE stdout_eq=True rc_eq=True cli_rc=0
status-SUCCESS stdout_eq=True rc_eq=True cli_rc=0
status-FRESH-trailspace stdout_eq=True rc_eq=True cli_rc=0
status-extra-tab stdout_eq=True rc_eq=True cli_rc=0
dup-status-lastwin stdout_eq=True rc_eq=True cli_rc=0
zwsp-identity stdout_eq=True rc_eq=True cli_rc=0
dotslash-extra stdout_eq=True rc_eq=True cli_rc=0
space-split stdout_eq=True rc_eq=True cli_rc=0
three-extras stdout_eq=True rc_eq=True cli_rc=0
unicode-extra stdout_eq=True rc_eq=True cli_rc=0
unknown-env-field stdout_eq=True rc_eq=True cli_rc=1
unknown-flag-field stdout_eq=True rc_eq=True cli_rc=1
dir-override-lying-present stdout_eq=True rc_eq=True cli_rc=0
dir-observed-stub-0byte stdout_eq=True rc_eq=True cli_rc=0
dir-observed-produced stdout_eq=True rc_eq=True cli_rc=0
dir-occupies-directory stdout_eq=True rc_eq=True cli_rc=0
dir-escape-passwd stdout_eq=True rc_eq=True cli_rc=1
dir-broken-symlink stdout_eq=True rc_eq=True cli_rc=0
dir-symlink-devnull stdout_eq=True rc_eq=True cli_rc=0
identity-changed-stub stdout_eq=True rc_eq=True cli_rc=0
stub-on-primary-not-extra stdout_eq=True rc_eq=True cli_rc=0
bytes0-but-not-present stdout_eq=True rc_eq=True cli_rc=0
bytes-neg1 stdout_eq=True rc_eq=True cli_rc=0
produced-bytes-1 stdout_eq=True rc_eq=True cli_rc=0
comment-drops-extra stdout_eq=True rc_eq=True cli_rc=0
crlf stdout_eq=True rc_eq=True cli_rc=0
missing-status stdout_eq=True rc_eq=True cli_rc=1
unknown-magic stdout_eq=True rc_eq=True cli_rc=1
empty-file stdout_eq=True rc_eq=True cli_rc=1
native-log stdout_eq=True rc_eq=True cli_rc=1
same-req-fresh-complete stdout_eq=True rc_eq=True cli_rc=0
two-hashes-differ stdout_eq=True rc_eq=True cli_rc=0
two-hashes-same-missing stdout_eq=True rc_eq=True cli_rc=0
two-hashes-same-stub stdout_eq=True rc_eq=True cli_rc=0
two-hashes-same-produced stdout_eq=True rc_eq=True cli_rc=0
dir-not-dir stdout_eq=True rc_eq=True cli_rc=1
first-dir-observe stdout_eq=True rc_eq=True cli_rc=0
nul-identity stdout_eq=True rc_eq=True cli_rc=0
bytes-unrequested-name stdout_eq=True rc_eq=True cli_rc=0
no-extra-fresh-complete stdout_eq=True rc_eq=True cli_rc=0
rebuilt-with-stub-bytes stdout_eq=True rc_eq=True cli_rc=0
fresh-lc-with-stub stdout_eq=True rc_eq=True cli_rc=0
cached-with-stub stdout_eq=True rc_eq=True cli_rc=0
