verdict	role	callee	param	default	passed	file	line
SHADOW	prod	HookNamed	agent	"claude-code"	"claude-code"	cli.rs	37
SHADOW	prod	HookPostTool	agent	"claude-code"	"claude-code"	cli.rs	24
SHADOW	prod	HookPostTool	agent	"claude-code"	"claude-code"	cli.rs	25
BOUND	prod	HookPostTool	agent	"claude-code"	\	cli.rs	26
TACIT	prod	HookPostTool	agent	"claude-code"	—	cli.rs	28
TACIT	prod	HookPostTool	agent	"claude-code"	—	cli.rs	30
TACIT	prod	HookPostTool	agent	"claude-code"	—	cli.rs	31
TACIT	prod	HookPostTool	agent	"claude-code"	—	cli.rs	32
BOUND	prod	HookPostTool	agent	"claude-code"	{agent_arg	cli.rs	34
OVERRIDE	prod	HookPostTool	agent	"claude-code"	"cline"	cli.rs	39
TACIT	prod	HookPostTool	agent	"claude-code"	—	cli.rs	40
TACIT	prod	HookPostTool	agent	"claude-code"	—	cli.rs	41
OVERRIDE	prod	HookStop	agent	"claude-code"	"cursor"	cli.rs	35
SHADOW	prod	Timeout	timeout	30	"30"	cli.rs	38
TACIT	prod	Timeout	timeout	30	—	cli.rs	38
