verdict	role	callee	param	default	passed	file	line
TACIT	prod	PresenceArbiter	emaAlpha	0.3	—	unlabeled.swift	19
TACIT	prod	PresenceArbiter	emaAlpha	0.3	—	unlabeled.swift	20
TACIT	prod	PresenceArbiter	emaAlpha	0.3	—	unlabeled.swift	21
TACIT	prod	PresenceArbiter	presentThreshold	0.45	—	unlabeled.swift	19
OVERRIDE	prod	PresenceArbiter	presentThreshold	0.45	0.50	unlabeled.swift	20
TACIT	prod	PresenceArbiter	presentThreshold	0.45	—	unlabeled.swift	21
TACIT	prod	f	a	1	—	kwpos.py	20
SHADOW	prod	f	a	1	1	kwpos.py	21
SHADOW	prod	f	a	1	1	kwpos.py	22
TACIT	prod	f	a	1	—	kwpos.py	23
SHADOW	prod	f	a	1	1	kwpos.py	24
OVERRIDE	prod	f	a	1	9	kwpos.py	25
TACIT	prod	f	b	2	—	kwpos.py	20
TACIT	prod	f	b	2	—	kwpos.py	21
SHADOW	prod	f	b	2	2	kwpos.py	22
SHADOW	prod	f	b	2	2	kwpos.py	23
TACIT	prod	f	b	2	—	kwpos.py	24
TACIT	prod	f	b	2	—	kwpos.py	25
TACIT	prod	f	c	3	—	kwpos.py	20
TACIT	prod	f	c	3	—	kwpos.py	21
TACIT	prod	f	c	3	—	kwpos.py	22
TACIT	prod	f	c	3	—	kwpos.py	23
SHADOW	prod	f	c	3	3	kwpos.py	24
SHADOW	prod	f	c	3	3	kwpos.py	25
TACIT	prod	greet	greeting	"hi"	—	kwpos.py	36
OVERRIDE	prod	greet	greeting	"hi"	"yo"	kwpos.py	37
TACIT	prod	greet	greeting	"hi"	—	kwpos.py	38
SHADOW	prod	greet	greeting	"hi"	"hi"	kwpos.py	39
TACIT	prod	greet	greeting	"hi"	—	kwpos.py	40
TACIT	prod	greet	times	1	—	kwpos.py	36
TACIT	prod	greet	times	1	—	kwpos.py	37
OVERRIDE	prod	greet	times	1	2	kwpos.py	38
SHADOW	prod	greet	times	1	1	kwpos.py	39
TACIT	prod	greet	times	1	—	kwpos.py	40
TACIT	prod	kwargs	timeout	30	—	kwpos.py	29
SHADOW	prod	kwargs	timeout	30	30	kwpos.py	30
BOUND	prod	kwargs	timeout	30	**{"timeout": 30}	kwpos.py	31
TACIT	prod	kwonly	timeout	30	—	kwpos.py	32
SHADOW	prod	kwonly	timeout	30	30	kwpos.py	33
OVERRIDE	prod	labeled	presentThreshold	0.45	0.50	unlabeled.swift	15
SHADOW	prod	labeled	presentThreshold	0.45	0.45	unlabeled.swift	16
SHADOW	prod	mix	from	0	0	unlabeled.swift	12
TACIT	prod	mix	from	0	—	unlabeled.swift	13
TACIT	prod	mix	to	1	—	unlabeled.swift	12
SHADOW	prod	mix	to	1	1	unlabeled.swift	13
TACIT	prod	paint	blend	"normal"	—	unlabeled.swift	9
SHADOW	prod	paint	blend	"normal"	"normal"	unlabeled.swift	11
OVERRIDE	prod	paint	opacity	1.0	0.5	unlabeled.swift	9
SHADOW	prod	paint	opacity	1.0	1.0	unlabeled.swift	11
TACIT	prod	posonly	timeout	30	—	kwpos.py	34
SHADOW	prod	posonly	timeout	30	30	kwpos.py	35
TACIT	prod	retry	attempts	3	—	retry.ts	4
SHADOW	prod	retry	attempts	3	3	retry.ts	5
OVERRIDE	prod	retry	attempts	3	5	retry.ts	6
OVERRIDE	prod	retry	attempts	3	5	retry.ts	7
TACIT	prod	retry	attempts	3	—	retry.ts	8
TACIT	prod	retry	delay	100	—	retry.ts	4
TACIT	prod	retry	delay	100	—	retry.ts	5
TACIT	prod	retry	delay	100	—	retry.ts	6
OVERRIDE	prod	retry	delay	100	200	retry.ts	7
OVERRIDE	prod	retry	delay	100	200	retry.ts	8
TACIT	prod	splat	timeout	30	—	kwpos.py	26
OVERRIDE	prod	splat	timeout	30	1	kwpos.py	27
OVERRIDE	prod	splat	timeout	30	1	kwpos.py	28
