verdict	role	callee	param	default	passed	file	line
TACIT	prod	PresenceArbiter	absentThreshold	0.35	—	multi.swift	10
TACIT	prod	PresenceArbiter	absentThreshold	0.35	—	multi.swift	14
TACIT	prod	PresenceArbiter	absentThreshold	0.35	—	multi.swift	19
TACIT	prod	PresenceArbiter	absentThreshold	0.35	—	multi.swift	23
TACIT	prod	PresenceArbiter	absentThreshold	0.35	—	multi.swift	28
TACIT	prod	PresenceArbiter	emaAlpha	0.3	—	multi.swift	10
TACIT	prod	PresenceArbiter	emaAlpha	0.3	—	multi.swift	14
TACIT	prod	PresenceArbiter	emaAlpha	0.3	—	multi.swift	19
TACIT	prod	PresenceArbiter	emaAlpha	0.3	—	multi.swift	23
OVERRIDE	prod	PresenceArbiter	emaAlpha	0.3	1.0	multi.swift	28
SHADOW	prod	PresenceArbiter	presentThreshold	0.45	0.45	multi.swift	10
SHADOW	prod	PresenceArbiter	presentThreshold	0.45	0.45	multi.swift	14
TACIT	prod	PresenceArbiter	presentThreshold	0.45	—	multi.swift	19
OVERRIDE	prod	PresenceArbiter	presentThreshold	0.45	0.50	multi.swift	23
TACIT	prod	PresenceArbiter	presentThreshold	0.45	—	multi.swift	28
OVERRIDE	prod	greet	greeting	"hi"	"yo"	multi.py	4
TACIT	prod	greet	greeting	"hi"	—	multi.py	8
BOUND	prod	greet	greeting	"hi"		multi.py	12
TACIT	prod	greet	times	1	—	multi.py	4
TACIT	prod	greet	times	1	—	multi.py	8
TACIT	prod	greet	times	1	—	multi.py	12
