verdict	role	callee	param	default	passed	file	line
TACIT	prod	DotInit	thresholds	.init()	—	nested.swift	27
TACIT	prod	PinProfile	thresholds	Thresholds(driftDelay: 20)	—	nested.swift	25
BOUND	prod	PinProfile	thresholds	Thresholds(driftDelay: 20)	Thresholds(driftDelay: 20)	nested.swift	26
TACIT	prod	PinProfile	thresholds.awayDelay	90	—	nested.swift	25
TACIT	prod	PinProfile	thresholds.driftDelay	15	—	nested.swift	25
TACIT	prod	SessionProfile	colorHue	0.45	—	nested.swift	21
TACIT	prod	SessionProfile	colorHue	0.45	—	nested.swift	22
TACIT	prod	SessionProfile	colorHue	0.45	—	nested.swift	23
TACIT	prod	SessionProfile	colorHue	0.45	—	nested.swift	24
TACIT	prod	SessionProfile	thresholds	Thresholds()	—	nested.swift	21
SHADOW	prod	SessionProfile	thresholds	Thresholds()	Thresholds()	nested.swift	22
BOUND	prod	SessionProfile	thresholds	Thresholds()	Thresholds(driftDelay: 15)	nested.swift	23
BOUND	prod	SessionProfile	thresholds	Thresholds()	Thresholds(driftDelay: 20)	nested.swift	24
TACIT	prod	SessionProfile	thresholds.awayDelay	90	—	nested.swift	21
TACIT	prod	SessionProfile	thresholds.driftDelay	15	—	nested.swift	21
TACIT	prod	Thresholds	awayDelay	90	—	nested.swift	8
TACIT	prod	Thresholds	awayDelay	90	—	nested.swift	14
TACIT	prod	Thresholds	awayDelay	90	—	nested.swift	22
TACIT	prod	Thresholds	awayDelay	90	—	nested.swift	23
TACIT	prod	Thresholds	awayDelay	90	—	nested.swift	24
TACIT	prod	Thresholds	awayDelay	90	—	nested.swift	26
TACIT	prod	Thresholds	awayDelay	90	—	nested.swift	28
TACIT	prod	Thresholds	awayDelay	90	—	nested.swift	29
TACIT	prod	Thresholds	driftDelay	15	—	nested.swift	8
OVERRIDE	prod	Thresholds	driftDelay	15	20	nested.swift	14
TACIT	prod	Thresholds	driftDelay	15	—	nested.swift	22
SHADOW	prod	Thresholds	driftDelay	15	15	nested.swift	23
OVERRIDE	prod	Thresholds	driftDelay	15	20	nested.swift	24
OVERRIDE	prod	Thresholds	driftDelay	15	20	nested.swift	26
TACIT	prod	Thresholds	driftDelay	15	—	nested.swift	28
SHADOW	prod	Thresholds	driftDelay	15	15	nested.swift	29
